provider,providerName,offsetRatio,region,regionName,country,state,city,impact,source,comment
gcp,Google Cloud Platform,100,asia-east1,,Taiwan,,Changhua County,557,,
gcp,Google Cloud Platform,100,asia-east2,,China,,Hong Kong,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
gcp,Google Cloud Platform,100,asia-northeast1,,Japan,,Tokyo,516,,
gcp,Google Cloud Platform,100,asia-northeast2,,Japan,,Osaka,516,,
gcp,Google Cloud Platform,100,asia-south1,,India,,Mumbai,920,,
gcp,Google Cloud Platform,100,asia-southeast1,,Singapore,,Jurong West,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
gcp,Google Cloud Platform,100,australia-southeast1,,Australia,,Sydney,802,,
gcp,Google Cloud Platform,100,europe-north1,,Finland,,Hamina,211,,
gcp,Google Cloud Platform,100,europe-west1,,Belgium,,St. Ghislain,267,"Has a solar grid that provides 2.9 Gigawatt hour energy per year. run entirely without refrigeration, using instead an advanced cooling system [source]",
gcp,Google Cloud Platform,100,europe-west2,,United Kingdom,England,London,623,,
gcp,Google Cloud Platform,100,europe-west3,,Germany,,Frankfurt,615,,
gcp,Google Cloud Platform,100,europe-west4,,Netherlands,,Eemshaven,569,,
gcp,Google Cloud Platform,100,europe-west6,,Switzerland,,Zürich,16,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
gcp,Google Cloud Platform,100,northamerica-northeast1,,Canada,Québec,Montréal,20,Hydro-Québec,
gcp,Google Cloud Platform,100,southamerica-east1,,Brazil,,São Paulo,205,,
gcp,Google Cloud Platform,100,us-central1,,USA,Iowa,Council Bluffs,566.3,eGRID,
gcp,Google Cloud Platform,100,us-east1,,USA,South Carolina,Moncks Corner,367.8,eGRID,
gcp,Google Cloud Platform,100,us-east4,,USA,Northern Virginia,Ashburn,367.8,eGRID,
gcp,Google Cloud Platform,100,us-west1,,USA,Oregon,The Dalles,297.6,eGRID,
gcp,Google Cloud Platform,100,us-west2,,USA,California,Los Angeles,240.6,eGRID,
aws,Amazon Web Services,30,us-east-2,US East (Ohio),USA,,Columbus,568.2,eGRID,
aws,Amazon Web Services,30,us-east-1,US East (N. Virginia),USA,,Ashburn,367.8,eGRID,
aws,Amazon Web Services,30,us-west-1,US West (N. California),USA,,San Francisco,240.6,eGRID,
aws,Amazon Web Services,30,us-west-2,US West (Oregon),USA,,Portland,297.6,eGRID,
aws,Amazon Web Services,30,ap-east-1,Asia Pacific (Hong Kong),China,,Hong Kong,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
aws,Amazon Web Services,30,ap-south-1,Asia Pacific (Mumbai),India,,Mumbai,920,,
aws,Amazon Web Services,30,ap-northeast-3,Asia Pacific (Osaka-Local),Japan,,Osaka,516,,
aws,Amazon Web Services,30,ap-northeast-2,Asia Pacific (Seoul),South Korea,,Seoul,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,30,ap-southeast-1,Asia Pacific (Singapore),Singapore,,Singapore,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
aws,Amazon Web Services,30,ap-southeast-2,Asia Pacific (Sydney),Australia,,Sydney,802,,
aws,Amazon Web Services,30,ap-northeast-1,Asia Pacific (Tokyo),Japan,,Tokyo,516,,
aws,Amazon Web Services,30,ca-central-1,Canada (Central),Canada,,Montreal,20,Hydro-Québec,
aws,Amazon Web Services,30,cn-north-1,China (Beijing),China,,Beijing,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,30,cn-northwest-1,China (Ningxia),China,,Zhongwei,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
aws,Amazon Web Services,30,eu-central-1,EU (Frankfurt),Germany,,Frankfurt am Main,615,"* gCO2eq/kWh measured on  July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org",
aws,Amazon Web Services,30,eu-west-1,EU (Ireland),Ireland,,Dublin,617,,
aws,Amazon Web Services,30,eu-west-2,EU (London),United Kingdom,,London,623,,
aws,Amazon Web Services,30,eu-west-3,EU (Paris),France,,Paris,105,,
aws,Amazon Web Services,30,eu-north-1,EU (Stockholm),Sweden,,Stockholm,47,,
aws,Amazon Web Services,30,sa-east-1,South America (São Paulo),Brazil,,Sao Paulo,205,,
aws,Amazon Web Services,30,us-gov-east-1,AWS GovCloud (US-East),USA,,Dublin,568.2,eGRID,
aws,Amazon Web Services,30,us-gov-west-1,AWS GovCloud (US),USA,,Seattle,297.6,eGRID,
azure,Azure,100,eastasia,East Asia,Hong Kong,Wanchai,Wan Chai,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X,
azure,Azure,100,southeastasia,Southeast Asia,Singapore,,Singapore,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,
azure,Azure,100,centralus,Central US,USA,Iowa,Des Moines,736.6,eGRID (seem to be in the SRMW grid),
azure,Azure,100,eastus,East US,USA,Virginia,Blue Ridge,367.8,eGRID,
azure,Azure,100,eastus2,East US 2,USA,Virginia,Boydton,367.8,eGRID,
azure,Azure,100,westus,West US,USA,California,San Francisco,240.6,eGRID,
azure,Azure,100,northcentralus,North Central US,USA,Illinois,Chicago,568.2,eGRID,
azure,Azure,100,southcentralus,South Central US,USA,Texas,San Antonio,460.4,eGRID,
azure,Azure,100,northeurope,North Europe,Ireland,Leinster,Dublin,617,,
azure,Azure,100,westeurope,West Europe,Netherlands,North Holland,Amsterdam,569,,
azure,Azure,100,japanwest,Japan West,Japan,Osaka,Osaka-shi,516,,
azure,Azure,100,japaneast,Japan East,Japan,Tokyo,Tokyo,516,,
azure,Azure,100,brazilsouth,Brazil South,Brazil,Sao Paulo,Sao Paulo,205,,
azure,Azure,100,australiaeast,Australia East,Australia,New South Wales,Sydney,802,,
azure,Azure,100,australiasoutheast,Australia Southeast,Australia,Victoria,Melbourne,805,,
azure,Azure,100,southindia,South India,India,Tamil Nadu,Pallavaram,920,,
azure,Azure,100,centralindia,Central India,India,Maharashtra,Lohogaon,920,,
azure,Azure,100,westindia,West India,India,Maharashtra,Mumbai,920,,
azure,Azure,100,canadacentral,Canada Central,Canada,Ontario,Toronto,69.3,Calculated from IESO,
azure,Azure,100,canadaeast,Canada East,Canada,Quebec,Quebec,20,Hydro-Québec,
azure,Azure,100,uksouth,UK South,United Kingdom,England,Midhurst,623,,
azure,Azure,100,ukwest,UK West,United Kingdom,England,Wallasey,623,,
azure,Azure,100,westcentralus,West Central US,USA,Wyoming,Mountain View,625.1,it is not clear which grid power this zone,"or 297.6, not sure"
azure,Azure,100,westus2,West US 2,USA,Washington,Quincy,297.6,eGRID,
azure,Azure,100,koreacentral,Korea Central,South Korea,Seoul,Seoul,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,koreasouth,Korea South,South Korea,Busan,Busan,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,francecentral,France Central,France,Auvergne,Huriel,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,francesouth,France South,France,Midi-Pyrenees,Realmont,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,australiacentral,Australia Central,Australia,Australian Capital Territory,Forrest,900,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,australiacentral2,Australia Central 2,Australia,Australian Capital Territory,Forrest,900,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,southafricanorth,South Africa North,South Africa,Gauteng,Pretoria,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,
azure,Azure,100,southafricawest,South Africa West,South Africa,Western Cape,Stellenbosch,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,